,tweet
35,"June 14th, 1777 our nation’s flag was adopted as a symbol of our unity, diversity and perseverance 🇺🇸. House Democrats continue to work every day by these key principles #ForThePeople. #FlagDay https://t.co/xdmfu3nQQd"
36,"Making history as New Hampshire’s first LGBTQ member of Congress, @RepChrisPappas continues advocating for equality in our military, protecting our climate and supporting small businesses. https://t.co/SGZztJM3yW"
37,"Health care is a human RIGHT. 

House Democrats will continue fighting #ForThePeople until every family has equal access and opportunity to affordable health care. https://t.co/KjaMQuUnLN"
38,"“The total firearm death rate increased 17 percent over the last decade.”

House Democrats passed the #BackgroundChecks Act and now we are voting to fund gun violence prevention research. We must protect our communities. Full stop. 

https://t.co/eCuPYI2C27"
39,"The fact that any American has to cross a border or turn to the streets for affordable life-saving medicine is a disgrace to our country. House Democrats have passed 5️⃣ key bills to lower the high cost of prescription drugs 💊 @SenateGOP DO. YOUR. JOB.

https://t.co/yITgQjJins"
40,"Resources are coming to American communities, allies and troops! 

House Democrats are INVESTED in providing health care 💊, education 📚 and clean energy 🌎#ForThePeople while also restoring our international engagement. https://t.co/tEW1fQApl2"
41,@HouseDemocrats voted yesterday to take the next step in holding the Administration accountable &amp; revealing the truth #ForThePeople https://t.co/FL3QKUICzB
42,World War II veteran Medgar Evers fought for African American rights until his last day on earth 56 years ago. Let us continue to push forward spreading his message #ForThePeople. https://t.co/02ZeFMQjkm
43,"Today, #WeAreOrlando.

House Democrats remember the 49, honor the survivors &amp; stand against hate.

In their memory, we recommit ourselves to fight until ALL Americans can live and love freely and safely. 

#ForThe49 https://t.co/ldGOJCNTt0"
44,House Democrats celebrate our beautiful mosaic of members dedicated to sharing their stories and challenging the status quo #ForThePeople. 🏳️‍🌈 https://t.co/vsUNvukfyx
45,"“The number of those killed and wounded by guns in the United States has already topped 16,000 this year.” 

Enough is enough. 

@HouseDemocrats KNOW we need commonsense gun safety reform -- which is why we passed 2️⃣ #GunSafety bills #ForThePeople

https://t.co/tRHF3zVa3e"
46,"#ClimateChange is real. It's happening now. Today, @HouseBudgetDems held a hearing focused on the economic risk of climate change. We must work TOGETHER to fight climate change and create a better world #ForThePeople 🌎 https://t.co/Bl3gAFXbQd"
47,"“House Democrats’ first major bill this session reaffirmed voting rights 🗳... The bill has stalled in the GOP-led Senate, where Majority Leader Mitch McConnell (R-Ky.) has refused to bring it up for a vote.”

#HR1 #ForThePeople

https://t.co/S0A8lXg0l3"
48,"Voting rights are American rights! 

@HouseDemocrats WILL keep our promise to fight #ForThePeople until EVERY American has equal access and opportunity to vote 🗳. https://t.co/9v8i68yYro"
49,"House Democrats passed the #SaveTheNet Act 2️⃣ MONTHS ago to restore #NetNeutrality #ForThePeople. 

Now the Senate must do its job! https://t.co/ediROknuVI"
50,"House Democrats continue to celebrate LGBTQIA Americans during #PrideMonth 🏳️‍🌈. 

We will keep fighting for human rights #ForThePeople until every citizen has equal dignity, respect and access to opportunity. https://t.co/ccehnNwf6R"
51,"ONE MORE TIME FOR THE FOLKS IN THE BACK 🗣️

SENATE REPUBLICANS: DO. YOUR. JOB.
 
https://t.co/m89PLKQeGz"
52,"Thank you to @TheBlackCaucus Taskforce on Black Youth Suicide and Mental Health and actress @TherealTaraji for reminding us why mental health access #ForThePeople is 🔑.
#MentalHealthMatters https://t.co/tlofDhdWLP"
53,"We can’t go backward. 

Eliminating environmental rules aimed at protecting Americans from harmful air pollution is WRONG. 

House Democrats WILL continue to work preserving our planet for the next generation 🌎.

https://t.co/qidwiuL9d0"
54,"Each day, nearly 1️⃣0️⃣0️⃣ people in our nation are killed by someone using a gun. 

ENOUGH. IS. ENOUGH. 

House Democrats have passed 2️⃣ #GunSafety bills #ForThePeople. 

Where is @senatemajldr? #GunViolenceAwareness #WearOrange https://t.co/XhLcDB6kqg"
55,"Our elections were attacked. 

House Democrats took action to protect our democracy #ForThePeople. 

The Senate’s refusal to act is nothing short of an outrage.

https://t.co/sXga6sJDyK"
56,"After serving our country in Iraq and Afghanistan, @RepGolden continues fighting #ForThePeople by standing up for veterans, small businesses and Maine families. #FollowFriday #FF https://t.co/9UvuUz4pEk"
57,"Thank you @VetAffairsDems Chairman @RepMarkTakano for fighting to make sure VA centers are prepared to provide adequate health care services to our nation’s veterans. #ForThePeople 

https://t.co/bGjOhrq9XI"
58,"Drug companies have raised prices on over 1,000 drugs THIS year. 

Unacceptable. 

House Democrats have passed bills to lower life saving prescription drug prices #ForThePeople. 💊

 PEOPLE. OVER. PROFITS. 💰#EndRxMonopolyPrices https://t.co/wROsn6TgYQ"
59,"1️⃣ in 4️⃣ Americans are currently living in areas of poor air quality. 

House Democrats are fighting for #ClimateActionNow to protect families from harmful air pollution. 

#WorldEnvironmentDay 🌎 https://t.co/UVFtS5LvcY"
60,"This is a moral outrage. In a country as great as ours, the teachers 👩🏻‍🏫 👨🏾‍🏫 charged with educating our next generation shouldn't struggle to get by.

https://t.co/kaEyVgbmxB"
61,"This is why we fight! 

House Democrats are PROUD to make history for thousands of American citizens ✊✊🏻✊🏼✊🏽✊🏾✊🏿

#ForThePeople #DreamAndPromiseNow https://t.co/fDEsktpBQQ"
62,"House Democrats passed the #DreamAndPromiseNow Act to protect the thousands of young Americans at risk of removal from their homes and separation from their families. We MUST #ProtectTheDream for our neighbors, friends and coworkers.🇺🇸 https://t.co/7A6jrygsZO"
63,"House Democrats have passed bills to preserve our climate 🌎, protect Dreamers 🇺🇸, lower prescription drug prices 💊 and re-enforce gun safety #ForThePeople. 

Where are @senatemajldr and Senate Republicans? 👀 https://t.co/qR426Y82h4"
64,👩🏼‍🦱👩🏾🧑🏼👩🏽‍⚕️ https://t.co/wpUCqf4zwG
65,"Last month, House Democrats passed HISTORIC climate legislation. We must take #ClimateActionNow to protect the future of our children and our planet. 🌎#ForThePeople

https://t.co/A15wYdbDLE"
66,"""When someone shows you who they are, believe them."" There's no doubt that the administration tried to undermine our Democracy and suppress the vote 🗳️ 🧑🏽👨🏾👵🏾👳🏾‍♂️🧕🏽.

https://t.co/T8tXaKOa0a"
67,"The American people sent Democrats to Washington for one simple reason: lower health care costs. We are fighting to ensure that EVERY AMERICAN has access to quality, affordable health care. #ForThePeople

https://t.co/hAIt1QdNlq"
68,"FACTS. ARE. FACTS. 🗣️This administration is laser-focused on denying SCIENCE and reversing our much-needed progress toward a safer planet. House Democrats are fighting for clear air and water for our children. 🌎 #ForThePeople

https://t.co/SUjYXpUwq3"
69,"House Democrats are clear. Experts agree. We need a bipartisan infrastructure plan #ForThePeople. President Trump: DO YOUR JOB.  

https://t.co/cwuvOypEns"
70,"⚡️ “Honoring Our Fallen Heroes”

https://t.co/DvV6zzKwqt"
71,"Today and every day, we remember those who have sacrificed everything for this nation. Let us recognize the price of our freedom and honor their legacy by continuing the fight toward a more perfect nation. #MemorialDay https://t.co/Nas4izaABP"
72,"HEALTH CARE IS A RIGHT, NOT A PRIVILEGE.  🗣️🗣️🗣️ https://t.co/roXsU30h63"
73,"Every. American. Deserves. Health. Care. It’s THAT simple. @HouseDemocrats will not stop until ALL AMERICANS receive the quality, affordable care they need, no matter who they are, who they love or where they come from. #ForThePeople 🇺🇸 https://t.co/lvXXq5zXQq"
74,"Every American deserves to retire with DIGNITY. Full stop. @HouseDemocrats passed the #SECUREAct to ensure that all retirees have access to financial security. 🧓🏽#ForThePeople

https://t.co/f4BcDnaaHl"
75,"Since she was elected to the Iowa State House at the age of 25, @RepFinkenauer has ALWAYS advocated for working families. 👪From Dubuque County to the nation’s capital, she is laser-focused on building a stronger middle class #ForThePeople. https://t.co/sr38yH7leD"
76,It has been one week since @HouseDemocrats passed the #EqualityAct to give LGBTQ Americans the fundamental civil rights that they are GUARANTEED in our Constitution. Where is @senatemajldr? 👀 https://t.co/8JvhsLR5il
77,"The Trump administration is trying to silence our nation’s scientists 👩‍🔬, but the facts speak for themselves. 🗣️

The #ClimateCrisis is REAL, and it has dangerous effects on our health and our future. 🌎

https://t.co/y6lFfcZwcS"
78,This country should be a beacon for those looking to work hard and fulfill their version of the American dream. Full stop. #ForThePeople https://t.co/FCZ8nGmKY3
79,"#ClimateChange is real. Full stop. 
House Democrats are working to save the future of our planet and our children #ForThePeople.

https://t.co/iqg6EY9A9a"
80,THIS IS WHAT ACCOUNTABILITY LOOKS LIKE. 👏👏@HouseDemocrats like @RepPressley are holding this administration accountable for its policies. We MUST invest in public housing TODAY for the health and economy of tomorrow. #ForThePeople https://t.co/G5A7t0nSVx
81,House Democrats could not have passed the Affordable Care Act without the fearless leadership of @SpeakerPelosi. We thank you for your dedication in the fight #ForThePeople. 👑 https://t.co/Yvnr50qQ0Y
82,"100 years ago today, the House passed the #19thAmendment, finally recognizing women’s voices in our democracy. We honor the women who have fought for equality and continue to fight for this nation’s fundamental promise: that every American is guaranteed FULL and EQUAL rights. https://t.co/wzpJdmV14u"
83,"The Trump administration is letting harmful contaminants pollute the water we drink and the air we breathe. House Democrats won't ignore our moral responsibility to fight for the clean air and water our kids deserve. 

https://t.co/KZcooSVaY2"
84,"Yesterday, @HouseDemocrats passed the #EqualityAct because love does not discriminate. Neither should the law. Full stop.

https://t.co/rywtiA0zhD"
85,👋🏾 Argos! https://t.co/eN9YGZTaoW
86,"Every child has the right to a quality education and the opportunity to pursue their dreams. 65 years later, we must fight to ensure that the promise of #BrownvBoard is fulfilled for every American, regardless of race, income or zip code. https://t.co/v58sMe5OKH"
87,"This nation is built on the values of fairness and equality. @HouseDemocrats passed the #EqualityAct because every American is guaranteed to the same rights, regardless of who they love or who they are. Full stop. https://t.co/t3iKpEKy3U"
88,"House Democrats  know that health care is a fundamental right. We’re  delivering on our core promise to the American people: We will ALWAYS protect your health care. Full stop. #ForThePeople

https://t.co/dnGZxBuZ6h"
89,"She made history as the first South American immigrant elected to Congress. Now, @RepDMP is a leading voice on immigration and regional stability in Latin America. An education and climate change advocate, she continues to fight for our children and our future. #FollowFriday https://t.co/oZjQkobscZ"
90,"From Hawaii to Iraq, Rep. Tulsi Gabbard has served our nation bravely both at home and abroad. She continues her lifelong dedication to the American people by fighting for clean energy and green jobs. #ForThePeople #APAHM @TulsiPress https://t.co/ZN9TW0dzvw"
91,"This is unconscionable. @HouseDemocrats are dedicated to making sure that every family has access to quality, affordable health care. #NationalWomensHealthWeek https://t.co/23TLpPNTyS"
92,"Investing in our infrastructure will not only make our roads safer and our water cleaner—it will also create millions of good-paying jobs. This #InfrastructureWeek, @HouseDemocrats are more focused than ever on building a better nation #ForThePeople. https://t.co/5HpUboeoon"
93,Our diversity is our STRENGTH. Happy 25th anniversary to @APAICS - thank you for your work supporting @CAPAC and AAPIs across this nation. #APAHM https://t.co/URmjc2cofz
94,"The Trump Administration wants to sell JUNK plans to millions of Americans with pre-existing conditions. @HouseDemocrats know that every American deserves high-quality, AFFORDABLE health care. #ProtectOurCare https://t.co/PR01wjrXQv"
95,"Chairman of @EdLaborCmte, Rep. @BobbyScott has fought for equity in education and affordable health care for decades. From the Virginia State Capitol to the halls of Congress, he has dedicated his career to fighting #ForThePeople. #APAHM https://t.co/K67bKde4ef"
96,"This #NationalPoliceWeek, let us remember and honor the lives of officers killed in the line of duty. Thank you for your sacrifice. 👮 🕵🏾‍♂️ https://t.co/vlXeWBpiQW"
97,1️⃣in 4️⃣ Americans struggle to pay 💵 for their prescription 💊 medication. No American should have to choose between putting food on the table and life-saving drugs. @HouseDemocrats are fighting to lower health care costs 👨‍⚕️ 👵🏾 👨‍👩‍👦 #ForThePeople. https://t.co/PdyH2EeQYn
98,"Son of immigrants, engineer, businessman and now Congressman, @RepTjCox knows what it takes to strengthen our middle class, create jobs and ensure equal access to economic opportunity. He continues to fight #ForThePeople on @HouseAgDems and @NRDems. #APAHM https://t.co/8sAX79VHao"
99,Educator. Lawyer. Public servant. @CongressmanRaja has worked to strengthen our nation’s middle class for his entire life and continues this fight #ForThePeople in the Capitol today. #APAHM https://t.co/b3Bu2Pz4PR
100,"This #InfrastructureWeek, we cannot forget that #RuralBroadband is one of the biggest infrastructure needs in this country. @HouseDemocrats are working to ensure that ALL Americans have access to affordable, high-speed internet. 🖥️ https://t.co/YhxSGS611x"
101,This nation owes an invaluable debt of gratitude to mothers. May we be emboldened by their strength and inspired by their patience. #MothersDay https://t.co/TOMqliQfMQ
102,"The first Vietnamese-American woman elected to Congress, @RepStephMurphy embodies the American dream. From national security specialist to Co-Chair of @HouseBlueDogs, she is dedicated to fiscal responsibility, a robust middle class and a strong national defense. #APAHM https://t.co/22PzZDRniE"
103,"From Puerto Rico to Iowa, millions of Americans are suffering in the aftermath of natural disasters. @HouseDemocrats know that helping them pick up the pieces is NOT a Democrat or Republican issue, it's an American one. https://t.co/ulpc5QgixZ"
104,"A successful lawyer and the first woman to be appointed City Solicitor of Allentown, @RepSusanWild became the first woman elected to represent Pennsylvania's 7th and continues to fight #ForThePeople every day in our nation’s capital. #FollowFriday https://t.co/fc1v9k2llD"
105,"Educator and public servant, @RepRoKhanna has served our nation in the White House, the classroom and now in Congress. He is dedicated to creating good-paying jobs across the nation and fighting #ForThePeople as First Vice Chair of @USProgressives. #APAHM https://t.co/Seif27mMyp"
106,"Disaster relief for Americans in need is long overdue. From Puerto Rico to Iowa, @HouseDemocrats will not let the Trump administration hold back aid any longer.

https://t.co/mYAgaSfmju"
107,"House Democrats were given a mission to #ProtectOurCare #ForThePeople. 

We will never let the Trump administration succeed in their mission to deny coverage to Americans with pre-existing conditions. https://t.co/pMrRDqioJ5"
108,"Disaster relief for Americans in need is long overdue. From Puerto Rico to Iowa, @HouseDemocrats will not let the Trump administration hold back aid any longer. #ForThePeople

https://t.co/mYAgaSfmju"
109,Our nation's teachers dedicate their lives to our children. They should NEVER be left behind. Full stop. #TeacherAppreciationWeek https://t.co/gsZb6JLpaj
110,"From civil rights advocate to State Senator and Congresswoman, @RepJayapal has always fought for economic equality, racial equity and human rights. She continues her lifelong fight #ForThePeople as Co-Chair of @USProgressives and a Member of several committees. #APAHM https://t.co/KZ74yGaWJ9"
111,Every American has a family member with a pre-existing condition. The president is trying to steal their health care -- @HouseDemocrats will not let that happen. #ForThePeople https://t.co/o5cMAyg5GJ
112,"Dr. @RepBera has been fighting #ForThePeople his entire career. In Congress, he continues his lifelong work of improving the quality and affordability of health care for millions across the nation. 🏥 https://t.co/ys8bB6sd0n"
113,Our nation’s teachers give our children more than knowledge: They instill the values of hard work and perseverance and sacrifice every day to ensure that our children have what they need to succeed. 🍎📓#TeacherAppreciationDay https://t.co/We8eygG6y7
114,".@HouseDemocrats could not do the important work of fighting #ForThePeople without our dedicated leadership. @SpeakerPelosi, @LeaderHoyer, @WhipClyburn, @repbenraylujan, @RepJeffries and @RepKClark: thank you for always putting the American people first. 🇺🇸 https://t.co/MUfn2z0CjH"
115,"This is NOT who we are. House Democrats know #ClimateChange is real. 🌎

https://t.co/QTNBgxi4UI"
116,"Thanks to the Democratic majority, the House took action on #ClimateChange for the first time in 10 YEARS. We cannot afford to wait any longer to tackle the climate crisis--we need #ClimateActionNow. https://t.co/pssdvOEhxC"
117,"Almost half of all Americans work for a small business. That's why this #NationalSmallBusinessWeek, House Democrats are lifting up the small business owners who drive our economy and create good-paying jobs #ForThePeople. https://t.co/Gk6SU38ttO"
118,"Our earth’s plants 🍃 and animals 🦏 are the foundation of all life: without them, there is no us. House Democrats are taking #ClimateActionNow to save and preserve our planet 🌎 for future generations. https://t.co/9gEMZtTqWs"
