,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
1761,Republican,"""We're going to cut taxes for people and put money back in their pockets, instead of sending it to Washington.” – @SenJohnBarrasso #TaxReform https://t.co/f6hOzu0KjP",Senate of Republican,24,0.087,0.913,0.0,-0.2732
1762,Republican,"""For years our tax laws have kept American businesses at a disadvantage in the global economy. That ends now."" – @SenJohnThune https://t.co/X3MlNJEd1k",Senate of Republican,22,0.128,0.872,0.0,-0.4215
1763,Republican,"""@SenKamalaHarris earns Three Pinocchios for referring to a 'private jet tax break' and suggesting wealthy owners would gain.” - @WashingtonPost Fact Checker https://t.co/e4Yc3LZoZf https://t.co/pamiRt9Uel",Senate of Republican,24,0.0,0.894,0.106,0.3612
1764,Republican,“The #TaxCutsandJobsAct is about restoring the American dream.” – @SenJohnThune #TaxReform https://t.co/jx9o5Pjsp6,Senate of Republican,12,0.0,0.82,0.18,0.296
1765,Republican,https://t.co/vhyQELNfwq,Senate of Republican,1,0.0,1.0,0.0,0.0
1766,Republican,"""We double the standard deduction, we double the child tax credit, we lower rates. That is how American families benefit directly from the [#TaxCutsandJobsAct].” – @SenJohnThune #TaxReform https://t.co/f6hOzu0KjP",Senate of Republican,28,0.069,0.755,0.176,0.5267
1767,Republican,"""We absolutely, directly lower the tax on lower-income, middle-income Americans.” – @SenToomey #TaxReform https://t.co/f6hOzu0KjP",Senate of Republican,14,0.171,0.829,0.0,-0.3566
1768,Republican,“#TaxReform is an opportunity for us to reward and not punish hardworking Americans by helping them keep more of their paycheck.” – @SenatorTimScott #TaxCutsandJobsAct https://t.co/f6hOzu0KjP,Senate of Republican,25,0.0,0.635,0.365,0.8879
1769,Republican,"""This is our once-in-a-generation opportunity, and we should meet the challenge.” – @SenateMajLdr #TaxReform #TaxCutsandJobsAct https://t.co/f6hOzu0KjP",Senate of Republican,16,0.0,0.833,0.167,0.4215
1770,Republican,Members of the @SenateGOP leadership team brief the press on the next steps for the #TaxCutsandJobsAct. #TaxReform https://t.co/zyZRntWCMs,Senate of Republican,18,0.0,1.0,0.0,0.0
1771,Republican,"""Through the proposed tax reform, members of Congress have a once-in-a-generation opportunity to restore the competitiveness of the U.S. as a place to do business and to provide workers a long-overdue pay raise. They should take it.” – Joshua Bolten https://t.co/9CWQCmbipI",Senate of Republican,41,0.035,0.842,0.124,0.5574
1772,Republican,“More Than 200 Industry Stakeholders and Job Creators Support Senate Tax Overhaul” via @GOPSenFinance https://t.co/R9Lw7I3lkU,Senate of Republican,15,0.0,0.838,0.162,0.4019
1773,Republican,"@POTUS @HouseGOP @GOPSenFinance @senorrinhatch Senate Republicans, @HouseGOP, and the @WhiteHouse are seizing this once-in-a-generation opportunity to cut taxes for American families and workers. https://t.co/FLSZVQPQl3",Senate of Republican,24,0.078,0.818,0.104,0.1779
1774,Republican,"@POTUS @HouseGOP @GOPSenFinance @senorrinhatch December 2017: Senate Republicans pass the #TaxCutsandJobsAct, which doubles the standard deduction, doubles the child tax credit, and will create create nearly 1 million new jobs. https://t.co/d70uyVmqnC",Senate of Republican,31,0.0,0.799,0.201,0.7003
1775,Republican,@POTUS @HouseGOP @GOPSenFinance @senorrinhatch 2011-2017: The Senate Finance Committee holds more than 70 hearings on reforming the tax code. #TaxReform https://t.co/vtFVqHBBjh https://t.co/j16KvSJ80j,Senate of Republican,22,0.0,1.0,0.0,0.0
1776,Republican,@POTUS @HouseGOP @GOPSenFinance Late 2014: Republicans take back the Senate majority and @SenOrrinHatch releases an extensive report on #TaxReform. https://t.co/vtFVqHBBjh,Senate of Republican,20,0.0,1.0,0.0,0.0
1777,Republican,@POTUS @HouseGOP @GOPSenFinance 2013: The Senate Finance Committee releases 10 option papers outlining ways to scrub the tax code and bring it into the 21st century. https://t.co/yd49BX1uLH,Senate of Republican,27,0.0,1.0,0.0,0.0
1778,Republican,@POTUS @HouseGOP 2011: @GOPSenFinance submits 21 pages of recommendations on #TaxReform. https://t.co/vtFVqHBBjh https://t.co/TfucKJamGf,Senate of Republican,13,0.0,1.0,0.0,0.0
1779,Republican,"Myth: The #TaxCutsandJobsAct didn’t go through regular order and was written overnight.
Fact: #TaxReform has been six years in the making, and now we have the opportunity to make it a reality with @POTUS and @HouseGOP. https://t.co/vtFVqHBBjh https://t.co/tmy0Yb9ngV",Senate of Republican,38,0.0,0.928,0.072,0.4215
1780,Republican,"""Yes. Tax reform will boost US investment.” By @BizRoundtable CEO Joshua Bolten via @TheHill https://t.co/9CWQCmbipI https://t.co/ZiAIevcsTW",Senate of Republican,16,0.0,0.847,0.153,0.4019
1781,Republican,"“[T]he Senate’s Tax Cuts and Jobs Act is a positive step toward restoring Nevadans’ faith in the American dream by providing tax cuts for middle-class families and jump-starting job creation, higher wages, and economic growth.” – @SenDeanHeller via @rgj https://t.co/fxeRgRBFvk",Senate of Republican,40,0.091,0.644,0.264,0.8074
1782,Republican,"""Tax Reform: What’s in It for You” by @SenateMajLdr via @WSJ https://t.co/3A4CYX9djC https://t.co/31KymqWxRx",Senate of Republican,13,0.0,1.0,0.0,0.0
1783,Republican,"""Senate bill delivers tax relief for Nevadans” by @SenDeanHeller via @rgj https://t.co/fxeRgRBFvk",Senate of Republican,12,0.0,0.78,0.22,0.4767
1784,Republican,"""The Senate’s bill will help small businesses and families while promoting energy independence.” – @SenateMajLdr via @WSJ https://t.co/3A4CYX9djC",Senate of Republican,18,0.0,0.657,0.343,0.743
1785,Republican,“It’s in our families that America’s most important work gets done: raising our next generation.” – Ronald Reagan #TaxReform #ChildTaxCredit https://t.co/YmkbRpVm4i,Senate of Republican,21,0.0,0.901,0.099,0.2716
1786,Republican,"""By cutting taxes for middle-income Americans and providing job creators with the environment they need to hire more workers and increase wages, this tax reform package will turn the economic tide and help Americans get ahead.” – @SenJohnThune https://t.co/DAapwEyfXt https://t.co/AgCQuEVGwy",Senate of Republican,40,0.035,0.842,0.123,0.5809
1787,Republican,"""This tax reform package will turn the economic tide and help Americans get ahead. ... I look forward to working with my Senate and House colleagues to ensure our pro-growth tax reform package is signed into law.” – @SenJohnThune #TaxCutsandJobsAct https://t.co/fVGmldjKBA",Senate of Republican,41,0.0,0.875,0.125,0.6486
1788,Republican,".@SenateMajLdr, @GOPSenFinance Chair @SenOrrinHatch, Sen. @LisaMurkowski, and other senators host a press conference on the historic passage of tax reform. 
https://t.co/QTc4Lwjw0c",Senate of Republican,21,0.0,1.0,0.0,0.0
1789,Republican,The Senate just passed historic #TaxReform. 🇺🇸 https://t.co/mSEBcI3RbA,Senate of Republican,8,0.0,1.0,0.0,0.0
1790,Republican,"Tax reform will double the standard deduction, double the child tax credit, and create nearly 1 million new jobs. https://t.co/d70uyVmqnC",Senate of Republican,20,0.0,0.783,0.217,0.5719
1791,Republican,"""The tax structure needs to change. We can use those dollars to put back into our businesses, to look at innovation, to look at expanding markets.” – Misty DeAnn Mayes, owner of @MSLLC_Knoxville https://t.co/Oj3dllKfjS",Senate of Republican,34,0.0,0.925,0.075,0.3818
1792,Republican,#TaxReform will make 🇺🇸 competitive again. 🔥💯 https://t.co/VuGieYIN95,Senate of Republican,8,0.0,0.805,0.195,0.1779
