Political Affiliation,tweet,Politician,Word Count
Democrats,"Today we celebrate #Juneteenth, the day we celebrate the emancipation from slavery in the United States.

And on th… https://t.co/rJsysmiaf6",Alexandria Ocasio-Cortez,20
Democrats,"What’s worse, Congress has asked DHS for documents on the whereabouts of children taken from their parents.

We‘ve… https://t.co/PhxRXIgsbs",Alexandria Ocasio-Cortez,19
Democrats,"DHS ripped 1000s of children from their parents &amp; put them in cages w inhumane conditions.

They call their cells “… https://t.co/H2R6dj3ir2",Alexandria Ocasio-Cortez,22
Democrats,"Thank you, @RepJerryNadler. https://t.co/07A0H2uW9f",Alexandria Ocasio-Cortez,4
Democrats,@TheDemocrats Someone didn’t go to my Twitter class,Alexandria Ocasio-Cortez,8
Democrats,"Not one dime should go to DHS for building these camps as they detain children &amp; families.

Congressional appropria… https://t.co/WZtV9hwMAv",Alexandria Ocasio-Cortez,20
Democrats,"The US ran concentration camps before, when we rounded up Japanese people during WWII.

It is such a shameful histo… https://t.co/ibt1JXVg9d",Alexandria Ocasio-Cortez,21
Democrats,"Ah yes, because history knows that people who run concentration camp systems almost always acknowledge to the publi… https://t.co/SEvvTd2ddR",Alexandria Ocasio-Cortez,19
Democrats,"Also @Liz_Cheney, the fact that you employed the horrifying word “exterminated” here (co-opting the language of the… https://t.co/w5y7nP1Dty",Alexandria Ocasio-Cortez,18
Democrats,"This video was from 1 year ago this week - before my primary &amp; the Fox News cycle.

I flew to the concentration cam… https://t.co/dqUecf3WWo",Alexandria Ocasio-Cortez,25
Democrats,"Hey Rep. Cheney, since you’re so eager to “educate me,” I’m curious:

What do YOU call building mass camps of peopl… https://t.co/AimMHbhFGw",Alexandria Ocasio-Cortez,22
Democrats,And for the shrieking Republicans who don’t know the difference: concentration camps are not the same as death camp… https://t.co/ex8Ax6FqG1,Alexandria Ocasio-Cortez,20
Democrats,"@GerberKawasaki @LOLGOP Concentration camps are not the same as death camps.

This is an important distinction. One… https://t.co/fQjpR5FymN",Alexandria Ocasio-Cortez,18
Democrats,"This administration has established concentration camps on the southern border of the United States for immigrants,… https://t.co/40xPvnY41a",Alexandria Ocasio-Cortez,17
Democrats,@chrissyteigen 🤯,Alexandria Ocasio-Cortez,2
Democrats,@PhiPhiOhara Thank you &amp; likewise! 👑💜✨,Alexandria Ocasio-Cortez,6
Democrats,Thanks! ✨ https://t.co/FS4yF7xace,Alexandria Ocasio-Cortez,3
Democrats,"If a Schedule I drug shows promise in treating [PTSD, severe depression, opioid addiction], then perhaps it is not… https://t.co/GNjtYhkfYD",Alexandria Ocasio-Cortez,20
Democrats,"Right, bc sucking Puerto Ricans - full US citizens - dry while closing public schools, building fossil fuel pipelin… https://t.co/Qe95x5ZMlf",Alexandria Ocasio-Cortez,20
Democrats,"If a person is working 40h/week &amp; is paid so little that they need gov help to make ends meet, it’s not the person… https://t.co/vCxWTAKYER",Alexandria Ocasio-Cortez,25
Democrats,"From “day one?” Really?

1 in 10 of Amazon’s Ohio employees were on food stamps after the company opened fulfillmen… https://t.co/jUyRbupnAJ",Alexandria Ocasio-Cortez,21
Democrats,"Mr. President, you’re from Queens. 

You may fool the rest of the country, but I’ll call your bluff any day of the… https://t.co/J3EzWF7A82",Alexandria Ocasio-Cortez,23
Democrats,@errollouis Errol SNAPPED 😉,Alexandria Ocasio-Cortez,4
Democrats,"We need to talk about healthcare of incarcerated women + people.

Federal statutes prevent funding reproductive hea… https://t.co/ULdjYxzaqQ",Alexandria Ocasio-Cortez,18
Democrats,"- MangiPasta on Arthur Ave! SUPER fresh, handmade Italian, family owned. 🍝

- Taqueria Tlaxcalli🌯 &amp; Neerob🍛on Bangl… https://t.co/BUhYxhPMCy",Alexandria Ocasio-Cortez,19
Democrats,Looking forward to it! https://t.co/CSVd10X4hl,Alexandria Ocasio-Cortez,5
Democrats,"🎶 Can you pass these bills /
For affordable birth control pills /
If they don’t want to- /
Then the GOP is through… https://t.co/BfuQmMRt65",Alexandria Ocasio-Cortez,25
Democrats,I’ve spoken previously about our office’s parental leave policy (12 weeks paid leave to ALL new parents - dads incl… https://t.co/e7LeN5n4BV,Alexandria Ocasio-Cortez,21
Democrats,The good news: one of my amendments DID pass w/ bipartisan support: funding treatment for opioid-related infectious… https://t.co/KK1ICT44R4,Alexandria Ocasio-Cortez,18
Democrats,"Sadly our drug research amendment failed today, but I’m undeterred.

I’m proud we were even able to bring a vote on… https://t.co/Qk6LFXb5jB",Alexandria Ocasio-Cortez,22
Democrats,"This bill has bipartisan support, but it also has bipartisan opposition.

Many Dem &amp; GOP alike, are uncomfortable w… https://t.co/2NHXBqN3wa",Alexandria Ocasio-Cortez,20
Democrats,"During debate, the arguments against it didn’t make much sense. Some were outright false:

- legal argument (to tak… https://t.co/34drW1jeil",Alexandria Ocasio-Cortez,20
Democrats,"Yesterday I offered an amendment to allow Fed researchers to study Schedule I Drugs, incl:
- MDMA &amp; PTSD 
- Psilocy… https://t.co/a72N4Qwsxc",Alexandria Ocasio-Cortez,22
Democrats,"I’m about to preside over votes again! 

Fire up your @cspan feeds and check out what amendments we’re passing to f… https://t.co/G3wAB8hLa5",Alexandria Ocasio-Cortez,22
Democrats,"Dred Scott.
Korematsu vs. United States.
Citizens United.

Party aside, the Supreme Court has gotten things horrify… https://t.co/571cXC5aDS",Alexandria Ocasio-Cortez,18
Democrats,@IlhanMN @BettyMcCollum04 Yep! Excited to sign on ✨,Alexandria Ocasio-Cortez,8
Democrats,"What a damn shame.

We must pass the 9/11 Victim’s Compensation Fund. It’s not just about procedure. It’s about sho… https://t.co/BOFbKS7Aad",Alexandria Ocasio-Cortez,21
Democrats,@jaydestro One way everyday people can help: check to see if your Rep is cosponsored on the bill. Many are not. You… https://t.co/XN7Jinm2M7,Alexandria Ocasio-Cortez,23
Democrats,@jaydestro Hey there - thanks for asking about the VCF! We just held a bipartisan press conference about it last we… https://t.co/CUeHDyxypx,Alexandria Ocasio-Cortez,22
Democrats,"Wouldn’t it be great if these kinds of educational opportunities were available to ALL seniors, single parents, car… https://t.co/b6M8EFL2qH",Alexandria Ocasio-Cortez,19
Democrats,"Yep, it’s not just about cost of living adjustments, we’re also fighting for a living wage for interns + for strong… https://t.co/EFf7y2d9bV",Alexandria Ocasio-Cortez,22
Democrats,In democratically socialist businesses (like worker co-ops) or methods (like collective bargaining) you actually CA… https://t.co/RH5hSaSVai,Alexandria Ocasio-Cortez,16
Democrats,"It’s not a fun or politically popular position to take. But consistency is important.

ALL workers should get cost… https://t.co/S37h3PKCVI",Alexandria Ocasio-Cortez,20
Democrats,"What this does is punish members who rely on a straight salary, and reward those who rely on money loopholes and ot… https://t.co/tpkl3YGLZH",Alexandria Ocasio-Cortez,23
Democrats,"Yep. Voting against cost of living increases for members of Congress may sound nice, but doing so only increases pr… https://t.co/sS9PHW3mdA",Alexandria Ocasio-Cortez,21
Democrats,"No human being should be tortured by or in the United States.

That means NO ONE should be kept in solitary confine… https://t.co/I8utQORiXk",Alexandria Ocasio-Cortez,23
Democrats,"Yikes. The CEO of a news media company is almost a *full year late* to one of the laziest takes of 2018.

Begs the… https://t.co/T1dlee3atb",Alexandria Ocasio-Cortez,25
Democrats,"We now have *bipartisan support* for our amendment allowing expanded research into psychedelics.

This is important… https://t.co/HHhvcZsvg1",Alexandria Ocasio-Cortez,17
