Political Affiliation,tweet,Politician,Word Count,created_time,number of retweets,number of likes
Democrats,"When you stand up to bullies once, it gets easier to do each following time.

I am used to the right’s behavior towards me - but I will never get used to their heartless cruelty towards other human beings escaping violence &amp; despair, nor their indifference to everyday Americans. https://t.co/TyiNZYqHG3",AOC,50,2019-07,18467,96469
Democrats,@hayleyalvz Of course. Our prayers are with you - and we will work our hardest to honor his last wish to Congress.,AOC,22,2019-07,14,268
Democrats,"Fmr. Detective Luis Alvarez, 9/11 first responder, &amp; loving father of 3 sons, left us far too soon.

He spent his last days fighting for the 9/11 Victim’s Compensation Fund.

Some issues should be above partisanship or delay. We must pass the bill as soon as Congress reconvenes. https://t.co/efpKkHYGFW",AOC,49,2019-07,5610,29894
Democrats,"Also @KellyannePolls, maybe you actually do your job and show up to a Congressional hearing next time you want to talk to me.

After all you, you ran away and skipped out on Oversight committee last week, just to call into Fox and Friends instead. 🤷🏽‍♀️ https://t.co/IzWJKWUxaN",AOC,47,2019-07,22768,125922
Democrats,"Are CBP officers waking up women in the middle of sleep a “funding” problem?

Is calling migrants “filthy” “wh*res” a funding problem?

Is threatening violence on members of Congress a “funding” problem?

No, it’s not. It’s a far deeper, systemic, more violent problem than that.",AOC,45,2019-07,14918,82306
Democrats,"The $4.6 billion wasn’t humanitarian at all. It had NO accountability measures for facilities that abuse children and families. It didn’t fix the problem, just funded abuse.

I don’t believe in billion dollar blank checks for unethical, abusive administrations. Including yours. https://t.co/IzWJKWUxaN",AOC,42,2019-07,23630,124014
Democrats,"The right is responding to what’s been exposed at the border by denying it &amp; saying I’m lying.

Hard to assert when the details I shared are corroborated by other members of Congress, court documents, migrant testimony, and now photos released today by the Inspector General. https://t.co/1JR8oSkk9X",AOC,47,2019-07,22086,73349
Democrats,"These are concentration camps.

According to concentration camp experts, people begin to die due to overcrowding, neglect, and shortage of resources.

We saw all three of those signs on our trip yesterday. Another person died yesterday.

And those are the deaths we know about. https://t.co/MhujNAYohJ",AOC,45,2019-07,46940,104559
Democrats,"We just experienced *the hottest month ever recorded on Planet Earth.*

Unless we act drastically now, it’s only going to get worse.

What will that mean for our food, water, shelter, safety?

We need a #GreenNewDeal. Now. https://t.co/MF7WuuQ4Pn",AOC,38,2019-07,18239,68937
Democrats,"How many migrant women has Kellyanne Conway touched? Hugged? Sat on a concrete floor with? Actually listened to?

The answer is none. Her actions show she doesn’t believe all human beings are worthy of basic dignity. 

That‘s why she defends &amp; muddies the clear and indefensible. https://t.co/NHMeI6Bx5r",AOC,47,2019-07,22269,96859
Democrats,"It is important to note that many of these children speak indigenous languages. Some I met were budding trilingual (speak K’iche’, Spanish &amp; learning English).

We are caging indigenous people.

(HHS shelters, if kids can get to them, have translation lines they call to help.) https://t.co/goruiMU5tt",AOC,46,2019-07,17656,58568
Democrats,"And now CBP is pushing easily disprovable lies about members of Congress. Truly nuts.

And to think this week the GOP &amp; Dem “Problem Solvers Caucus” fought to eliminate ALL accountability amendments from funding.

They just wrote a multi-billion dollar blank check for misconduct. https://t.co/6KIFc5KT6B",AOC,45,2019-07,5349,18799
Democrats,"When you pair:
- 9,500 current + former CBP officers are part of a violently racist &amp; sexually violent secret Facebook group
- Corroborating accounts of abuse
- CBP couldn’t control their own officers for a Congressional tour

What else do you call that but a rogue agency?",AOC,48,2019-07,10931,51842
Democrats,"I can’t understate how disturbing it was that CBP officers were openly disrespectful of the Congressional tour.

If officers felt comfortable violating agreements in front of their *own* management &amp; superiors, that tells us the agency has lost all control of their own officers. https://t.co/zZjNaodplr",AOC,45,2019-07,20999,81825
Democrats,"Hey, @kilmeade:

What was the last “party” you went to where you:
-  Were locked in a cage under armed guard
- Drank out of a toilet
- &amp; given food of such poor nutritional value, for so long, that it gave you mouth sores? https://t.co/UfO8EQzRbI",AOC,46,2019-07,18653,72841
Democrats,"And to these CBP officers saying they felt “threatened” by me -

They were literally discussing making a GoFundMe for an officer who attacked my on my tour.

They confiscated my phone, and they were all armed. I’m 5’4”.

They’re just upset I exposed their inhumane behavior.",AOC,47,2019-07,43619,213014
Democrats,"Pro-concentration camp &amp; Pro-Trump protestors tried to drown out our accounts.

They yelled at Rashida Tlaib about pork when she talked about facilities. They called Joaquin Castro “traitor” for denouncing family separation.

@AyannaPressley was heroic, speaking truth to vitriol. https://t.co/R5exxjRhKy",AOC,40,2019-07,13759,50351
Democrats,"Here’s another photo from inside taken by @JoaquinCastrotx, where we’re trying to comfort women trapped in cells.

This woman was telling me about her daughters who were taken from her - she doesn’t know where they’ve taken them.

We held &amp; listened to them. They were distraught. https://t.co/ca1GwKfDfU",AOC,48,2019-07,11658,37888
Democrats,"These officers felt brazen in there. While mgmt was telling us it was a “secure facility” where *members of Congress* had to check their phones, we caught officers trying to sneak photos, laughing.

CBP’s “good” behavior was toxic. Imagine how they treat the women trapped inside. https://t.co/wtkIy8EQWO",AOC,47,2019-07,17713,61950
Democrats,"Even if they let you in, these women told us CBP did a lot of “cleaning up” before we arrived.

They were moved into that room from outside tents before our arrival. They said they’d gone 15 days w/o a shower, &amp; were allowed to start bathing 4 days ago (when visit was announced). https://t.co/gozTUeaWa5",AOC,55,2019-07,9623,30641
